F_0,F_1,F_2,Points_Magnitude
181.0376955148,-189.1581933428,138.7446480522,1.5924173594
18.0104232331,44.2584841557,138.6997744894,1.4756348133
141.4558474377,6.1472263069,138.5241133617,1.3947786093
141.8795762812,55.7202058029,138.5127663214,1.4676955938
65.2889309011,0.1363421468,138.4557142989,1.3505433798
55.3543510910,0.1362701693,138.0312356507,1.3522578478
16.1932477953,0.0086560951,137.9218828174,1.3226521015
172.6132701746,44.8544061488,137.9217015925,1.4455214739
-36.9614296302,-0.0020688988,137.7322823610,1.3422293663
-90.5958051971,0.0634122462,137.7125039322,1.3482047319
-142.6510311663,53.0324646411,137.5766189583,1.4499646425
-110.6313829311,-132.4955013132,137.4467895994,1.5786203146
-44.0797658260,-0.0120008041,137.2773217567,1.3413745165
48.1454462116,0.0039265994,137.2402252504,1.3518971205
151.2278077654,40.6020687429,137.1477451213,1.4453197718
-95.5387613022,-124.5722088503,137.0561708880,1.5755176544
-140.7793510025,35.3985152176,136.8987783542,1.4040423632
124.1892501078,0.2817575423,136.8971722089,1.3680664301
97.3590543673,0.0609251201,136.8755105326,1.3577760458
28.5995340821,47.6525998430,136.7633581684,1.4791483879
38.3853320288,-0.0262053766,136.7030553525,1.2981127501
-136.4768741524,1.6270890657,136.5411421885,1.3548808098
139.5509860721,15.4665735729,136.4562905003,1.4113992453
120.7490783852,21.6645961270,135.9773359465,1.4221222401
94.6507215225,52.3938546678,135.8170839468,1.4785358906
-17.7634525318,-0.0199413028,135.7713982595,1.3182221651
37.8612213050,-0.0384591974,135.7181183818,1.2848639488
27.2419404615,-0.0055586629,135.6432133410,1.2708146572
-180.5829934769,24.9078753677,135.5610429365,1.3919959068
-191.0452556451,-196.5590719879,135.5371101495,1.6046617031
21.6133377178,48.5515778267,135.3859962364,1.4818205833
-21.6931566047,-96.5111578360,135.1396123299,1.5617181063
46.1918650288,47.8455941717,135.1129764128,1.4807828665
-25.4665423896,48.2610476403,135.1088748959,1.4732646942
130.7902192659,31.8633611016,135.0740694013,1.4352287054
119.4874080726,44.3936403431,134.7617573789,1.4556621313
64.5332354642,-107.0309624840,134.6566417459,1.5581753254
137.4287324137,1.9434905429,134.5273408086,1.3807241917
86.8561044901,-0.0974934415,134.4236047147,1.3511154652
34.2733020853,48.0041218829,134.3596449905,1.4815952778
-74.1317139792,48.7297301447,134.0907421238,1.4638875723
37.7777708257,-0.0298403253,134.0891685696,1.3114813566
-137.3982051070,42.2501272003,134.0517452865,1.4355884790
